nombre.estacion;avg.ocupacion.ancladas;avg.bases.libres;avg.capacidad.estacion;avg.bases.inoperativas;avg.bases.operativas;avg.bases.totales;longitud.estacion;lat.estacion;avg.numero.reservas
Agustin de Betancourt;0.297750911;0.702249089;0.981281873;0.449235049;23.55076495;23.85396384;-3.6956047;40.4440297;0.105702364
Alberto Alcocer;0.42419554;0.57580446;0.984121465;0.38108484;23.61891516;23.85396384;-3.684715;40.4585318;0.075104312
Alcala;0.4624884;0.536120779;0.983258641;0.45201669;26.54798331;24.51738526;-3.6801307;40.4226906;0.057023644
Alcantara;0.233886128;0.766113872;0.97027121;0.71349096;23.28650904;23.84979138;-3.6738714;40.4261851;0.022253129
Almaden;0.35719201;0.64280799;0.972531293;0.659248957;23.34075104;23.80806676;-3.693225;40.4108472;0.097357441
Alonso Martinez;0.30462103;0.69537897;0.962447844;0.901251739;23.09874826;23.79833102;-3.6954403;40.4278682;0.133518776
Altamirano;0.589060573;0.410939427;0.960651368;0.944367177;23.05563282;23.85396384;-3.7188898;40.4309797;0.066759388
Anton Martin;0;0;0;21;0;23.08066759;-3.6991147;40.4122047;0
Antonio Maura;0.383174191;0.616825809;0.97432777;0.616133519;23.38386648;23.83449235;-3.6904525;40.4165605;0.091794159
Arcipreste de Hita A;0.274970354;0.725029646;0.968300881;0.76077886;23.23922114;23.85396384;-3.7175435;40.4337322;0.082058414
Arcipreste de Hita B;0.376226162;0.615428914;0.945468243;1.30876217;22.69123783;23.87204451;-3.7175115;40.4337036;0.100139082
Atocha A;0.502861772;0.497138228;0.959955957;0.961057024;23.03894298;23.80806676;-3.6902255;40.4075685;0.129346314
Atocha B;0.518027236;0.481972764;0.967702055;0.872044506;26.12795549;24.51738526;-3.6901234;40.4074902;0.086230876
Augusto Figueroa;0.259666943;0.740333057;0.975950394;0.577190542;23.42280946;23.81641168;-3.697895;40.4222862;0.101529903
Ayala;0.357626942;0.642373058;0.971198424;0.69123783;23.30876217;23.79833102;-3.6832566;40.427736;0.037552156
Banco de Espana A;0.255642801;0.744357199;0.950718591;1.478442281;28.52155772;25.26147427;-3.6954615;40.4192342;0.091794159
Barcelo;0.362975404;0.637024596;0.966355388;0.706536857;20.29346314;23.10709318;-3.700423;40.4266828;0.083449235
Biblioteca Nacional;0.301566155;0.698433845;0.980064905;0.418636996;20.581363;23.11961057;-3.6909648;40.422699;0.063977747
Bravo Murillo 44;0.446191762;0.553808238;0.985628187;0.344923505;23.6550765;23.8581363;-3.7039582;40.4412115;0.082058414
Calle Mayor;0.244138167;0.755861833;0.970741256;0.789986092;26.21001391;24.53546592;-3.7068969;40.4163638;0.050069541
Carlos Cambronero;0.318222206;0.681777794;0.817512749;4.379694019;19.62030598;23.85396384;-3.7038312;40.4232649;0.063977747
Carretas;0;0;0;24;0;23.78164117;-3.7031808;40.4157138;0
Casa Encendida;0.570012804;0.429987196;0.976587854;0.561891516;23.43810848;23.78164117;-3.6992759;40.4060941;0.090403338
Castellana;0.359296712;0.640703288;0.983376383;0.349095967;20.65090403;23.15299026;-3.6895336;40.4268331;0.045897079
Castellana 106;0.415668145;0.584331855;0.989452944;0.253129346;23.74687065;23.82336579;-3.690861;40.4453307;0.022253129
Castellana 164;0.529031842;0.470968158;0.980992119;0.456189152;23.54381085;23.85396384;-3.6894151;40.4591366;0.104311544
Castellana 42;0.34187777;0.645604845;0.924953639;1.801112656;22.19888734;23.85396384;-3.6879154;40.4334087;0.164116829
Castellana frente a Hermanos Pinzon;0.372737449;0.627262551;0.98510663;0.35744089;23.64255911;23.85396384;-3.6905604;40.4488924;0.076495132
Castello;0.32625358;0.67374642;0.958532942;1.11961057;25.88038943;24.50904033;-3.6821793;40.422064;0.027816412
Cea Bermudez;0.409781455;0.590218545;0.949260805;1.324061196;24.60361613;24.52433936;-3.7154329;40.438994;0.207232267
Cibeles;0.298759225;0.638653849;0.899331082;2.114047288;18.88595271;23.11961057;-3.6926217;40.4186148;0.107093185
Claudio Coello;0.327836019;0.672163981;0.990380158;0.230876217;23.76912378;23.81641168;-3.6865463;40.4262945;0.040333797
Colegio Arquitectos;0.200973305;0.799026695;0.953929068;1.105702364;22.89429764;23.78164117;-3.698447;40.424148;0.07093185
Colon A;0.409401691;0.590598309;0.989105239;0.196105702;17.8038943;22.44784423;-3.6877227;40.4251002;0.020862309
Colon B;0.334400879;0.665599121;0.98694174;0.235048679;17.76495132;22.42141864;-3.687745;40.424963;0.02364395
Colombia;0.463309437;0.536690563;0.973052851;0.646731572;23.35326843;23.84979138;-3.6763439;40.4572466;0.11821975
Columela;0.352674326;0.647325674;0.968184979;0.763560501;23.2364395;23.8581363;-3.6884369;40.4215246;0.076495132
Conde de Casal;0.553633311;0.446366689;0.963649007;0.799721836;21.20027816;23.34909597;-3.670422;40.40635;0.11821975
Conde de Romanones;0.490035187;0.509964813;0.947728326;1.254520167;22.74547983;23.80806676;-3.7049407;40.4138846;0.052851182
Conde Duque;0.401832659;0.598167341;0.968648586;0.752433936;23.24756606;23.85396384;-3.7104417;40.4273264;0.058414465
Conde Penalver;0.291895887;0.708104113;0.971662031;0.680111266;23.31988873;23.83449235;-3.6752024;40.4272582;0.079276773
Cuesta de Moyano;0.355600292;0.644399708;0.942918405;1.369958275;22.63004172;23.83449235;-3.691987;40.409297;0.058414465
Diego de Leon 52;0.357253291;0.642746709;0.936949467;1.513212796;22.4867872;23.87204451;-3.678492;40.4345973;0.16550765
