Fecha;Usos bicis abono anual ;Usos bicis abono ocasional ;Usos bicis total
23/06/2014;17;79;96
24/06/2014;24;48;72
25/06/2014;105;14;119
26/06/2014;120;15;135
27/06/2014;131;18;149
28/06/2014;101;18;119
29/06/2014;107;33;140
30/06/2014;121;16;137
01/07/2014;124;6;130
02/07/2014;128;2;130
03/07/2014;85;7;92
04/07/2014;121;4;125
05/07/2014;783;3;786
06/07/2014;1230;5;1235
07/07/2014;1324;3;1327
08/07/2014;1774;6;1780
09/07/2014;1874;8;1882
10/07/2014;2266;7;2273
11/07/2014;2212;2;2214
12/07/2014;1949;4;1953
13/07/2014;1792;2;1794
14/07/2014;2311;3;2314
15/07/2014;2537;2;2539
16/07/2014;2673;7;2680
17/07/2014;2651;8;2659
18/07/2014;2547;5;2552
19/07/2014;2359;2;2361
20/07/2014;2371;2;2373
21/07/2014;2676;3;2679
22/07/2014;2935;4;2939
23/07/2014;2927;5;2932
24/07/2014;3204;9;3213
25/07/2014;3084;2;3086
26/07/2014;2467;0;2467
27/07/2014;2321;0;2321
28/07/2014;2894;4;2898
29/07/2014;3168;3;3171
30/07/2014;3236;5;3241
31/07/2014;3365;5;3370
01/08/2014;3048;6;3054
02/08/2014;2533;1;2534
03/08/2014;2624;0;2624
04/08/2014;2813;4;2817
05/08/2014;2830;6;2836
06/08/2014;3054;6;3060
07/08/2014;2967;5;2972
08/08/2014;2907;9;2916
09/08/2014;2582;0;2582
10/08/2014;2687;1;2688
11/08/2014;2900;2;2902
12/08/2014;3008;3;3011
13/08/2014;3102;9;3111
14/08/2014;2791;3;2794
15/08/2014;2392;0;2392
16/08/2014;2254;0;2254
17/08/2014;2444;3;2447
18/08/2014;2945;5;2950
19/08/2014;3155;5;3160
20/08/2014;3358;0;3358
21/08/2014;3678;4;3682
22/08/2014;3419;0;3419
23/08/2014;3158;0;3158
24/08/2014;3421;1;3422
25/08/2014;3556;3;3559
26/08/2014;3992;1;3993
27/08/2014;4008;2;4010
28/08/2014;4125;6;4131
