nombre.estacion;sep.ocu.avg.0;sep.ocu.avg.1;sep.ocu.avg.2;sep.ocu.avg.3;sep.ocu.avg.4;sep.ocu.avg.5;sep.ocu.avg.6;sep.ocu.avg.7;sep.ocu.avg.8;sep.ocu.avg.9;sep.ocu.avg.10;sep.ocu.avg.11;sep.ocu.avg.12;sep.ocu.avg.13;sep.ocu.avg.14;sep.ocu.avg.15;sep.ocu.avg.16;sep.ocu.avg.17;sep.ocu.avg.18;sep.ocu.avg.19;sep.ocu.avg.20;sep.ocu.avg.21;sep.ocu.avg.22;sep.ocu.avg.23
Agustin de Betancourt;0.217028986;0.288103865;0.338224638;0.362198068;0.384299517;0.406823671;0.391754502;0.389168685;0.369364295;0.355539087;0.29982433;0.279297851;0.285578612;0.341573342;0.370263732;0.35290404;0.283756039;0.254045894;0.253321256;0.177536232;0.162626263;0.183695652;0.19126592;0.206582126
Alberto Alcocer;0.286061704;0.283349802;0.316178085;0.314794686;0.307663592;0.36969148;0.404056873;0.38114667;0.436698664;0.518434343;0.567265042;0.623031828;0.63561704;0.625;0.641020399;0.591150637;0.51609025;0.481472332;0.366551383;0.328122843;0.299972552;0.287516469;0.309326965;0.305769653
Alcala;0.325433998;0.391785375;0.454679962;0.478964862;0.478917379;0.501566952;0.491358025;0.50365959;0.488660969;0.494919278;0.483718898;0.50633854;0.505462488;0.518830009;0.575178308;0.541073124;0.555608262;0.532649573;0.478446344;0.403061728;0.360026591;0.37622792;0.344360874;0.312638177
Alcantara;0.228711023;0.27175011;0.297048905;0.295731382;0.310591944;0.326416337;0.345236527;0.379083107;0.292301117;0.218179465;0.15961086;0.168665667;0.132022868;0.140321695;0.160818941;0.163205816;0.178990997;0.214811155;0.244286028;0.236811437;0.204469383;0.201010101;0.205687308;0.228055399
Almaden;0.298402503;0.360068072;0.414490401;0.419298576;0.423391524;0.432224418;0.39725516;0.414647881;0.368813916;0.366865079;0.426335561;0.480304491;0.479539965;0.438468536;0.343237472;0.3030852;0.306451942;0.318655761;0.302718489;0.241895037;0.240814668;0.262259238;0.267341584;0.267766171
Alonso Martinez;0.226844532;0.149593764;0.112384717;0.116792929;0.083377251;0.070004392;0.087582345;0.105710734;0.343937784;0.680379886;0.657862789;0.617493201;0.628362821;0.54647447;0.393571072;0.326429513;0.317850085;0.26154558;0.256792302;0.188639501;0.280294926;0.309585971;0.314844877;0.254573687
Altamirano;0.654075695;0.710556653;0.746640316;0.804062363;0.836144049;0.85907993;0.874731006;0.84184942;0.756966403;0.588491279;0.491149853;0.458636753;0.442152895;0.444445229;0.4093549;0.42675905;0.472877063;0.45274186;0.411146872;0.477630341;0.447653554;0.467011732;0.487558504;0.556974089
Antonio Maura;0.234552042;0.233717611;0.244660895;0.249681599;0.23681928;0.225708169;0.22979798;0.244103781;0.483529236;0.776600634;0.725592885;0.679945741;0.646059194;0.593457086;0.416308891;0.353484378;0.470476504;0.480017567;0.371958718;0.276624945;0.285558644;0.254485852;0.258185112;0.240486386
Arcipreste de Hita A;0.195464741;0.237080432;0.275539557;0.288618326;0.323348391;0.330469289;0.329135297;0.328297754;0.369915302;0.330644175;0.311943974;0.300880404;0.248158605;0.224559257;0.263185777;0.287657632;0.280641822;0.247388481;0.277351936;0.278135391;0.242021143;0.231321758;0.206233139;0.189989177
Arcipreste de Hita B;0.343580996;0.397734331;0.425192139;0.438023088;0.463515591;0.405630058;0.409551258;0.46028943;0.43709657;0.364098438;0.277309273;0.274744121;0.283184328;0.310107441;0.342930807;0.419974277;0.457262846;0.408483123;0.398220246;0.40517912;0.355287032;0.321195809;0.314507654;0.309035228
Atocha A;0.341531777;0.431421356;0.471327404;0.481763285;0.494682853;0.58212482;0.714265167;0.653199986;0.69455267;0.540619706;0.493343908;0.485783894;0.455396355;0.489629211;0.498562706;0.559965964;0.512552858;0.60775974;0.574127702;0.572708121;0.417014085;0.354671717;0.318640062;0.317313351
Atocha B;0.386231719;0.429160494;0.456467236;0.487794872;0.486037987;0.535390788;0.567525641;0.634667909;0.605588319;0.5708585;0.491992403;0.516054622;0.489242165;0.491061728;0.531777188;0.555004501;0.547300095;0.576074074;0.599044634;0.612093067;0.563248813;0.487604938;0.418720674;0.390215843
Augusto Figueroa;0.394071146;0.333174133;0.26301054;0.208113746;0.196206632;0.20000549;0.174516908;0.124824684;0.06833004;0.080873957;0.131186869;0.206402481;0.197068511;0.242836753;0.292549342;0.285188061;0.224273951;0.238666949;0.299662934;0.314137493;0.349017347;0.396014493;0.52054238;0.495147123
Ayala;0.20894159;0.175468819;0.163306983;0.160468819;0.163675889;0.162407773;0.161683136;0.166455225;0.296479704;0.546354853;0.689611174;0.712373846;0.678646716;0.694163687;0.584726306;0.543998996;0.567366209;0.507011105;0.36506917;0.251018884;0.208827404;0.194850681;0.209468599;0.196438296
Banco de Espana A;0.083761292;0.073148359;0.070599343;0.054409358;0.040127106;0.030186144;0.038524132;0.064072974;0.316265023;0.618945682;0.634746883;0.620603609;0.643187959;0.619681721;0.527014988;0.344735047;0.2550734;0.203004622;0.182794867;0.165506355;0.171035217;0.151547303;0.146088141;0.10796446
Barcelo;0.537907268;0.471015038;0.377284879;0.303564467;0.214049011;0.228230298;0.213142579;0.268204112;0.197253182;0.175094681;0.231588694;0.248465993;0.246732108;0.253354567;0.232108923;0.254232456;0.356891882;0.356169591;0.548075581;0.591165414;0.585474798;0.623505987;0.586129212;0.606748816
Biblioteca Nacional;0.129206349;0.139097744;0.175050125;0.140066834;0.121746032;0.12015873;0.093421053;0.138143746;0.343283208;0.612367029;0.672293233;0.697446202;0.676612364;0.552766639;0.406762596;0.316303258;0.396620718;0.441900585;0.275396825;0.15141604;0.186136174;0.193993317;0.157873851;0.121675021
Bravo Murillo 44;0.440217391;0.468423364;0.510309618;0.559705753;0.612856829;0.636709486;0.632290294;0.641925162;0.559211682;0.346958718;0.379347826;0.374505929;0.350839921;0.361023276;0.364867891;0.347035573;0.347458278;0.327527605;0.36678744;0.422852751;0.429727398;0.447414361;0.369167608;0.399813351
Calle Mayor;0.289282051;0.254602089;0.258723647;0.247181387;0.225817664;0.187922127;0.181445394;0.20870692;0.191213675;0.176919278;0.247200855;0.248790647;0.253150997;0.252320988;0.276648001;0.26257265;0.256117759;0.262080247;0.246078348;0.25014245;0.256167142;0.248049383;0.279458689;0.3011434
Carlos Cambronero;0.536129524;0.492323726;0.46107575;0.411246611;0.358822008;0.329687469;0.312114721;0.294734103;0.140799706;0.070387729;0.084746304;0.109195311;0.155282171;0.158378582;0.204560626;0.164377866;0.210214934;0.268384846;0.305406749;0.363389613;0.4546269;0.561804488;0.577783529;0.601886343
Casa Encendida;0.704259991;0.738713219;0.781609574;0.791139657;0.802272727;0.807745938;0.784957494;0.720817168;0.619801274;0.288153272;0.301001318;0.354259559;0.333884654;0.290651076;0.217101676;0.410535793;0.488858304;0.499813351;0.558072966;0.612281197;0.594611017;0.599629839;0.6679787;0.688175231
Castellana;0.211428571;0.157777778;0.13890142;0.116481481;0.105185185;0.136587302;0.170789474;0.201358234;0.384252297;0.60770259;0.718980785;0.684357445;0.631729323;0.633061821;0.475278714;0.396399332;0.458258145;0.48802005;0.361111111;0.216269841;0.298492063;0.355873016;0.371996658;0.322794486
Castellana 106;0.301701801;0.279166667;0.284782609;0.286231884;0.288411287;0.274132631;0.275817962;0.323547537;0.329715635;0.422134387;0.466458059;0.493224978;0.544296223;0.608948177;0.628532325;0.638839482;0.610803689;0.595086737;0.531148441;0.37068668;0.32076087;0.405785024;0.397221124;0.311352657
Castellana 164;0.466600791;0.472139877;0.446124286;0.46266469;0.488666949;0.511462451;0.532581247;0.478391408;0.593083004;0.797524155;0.805352437;0.736853164;0.675192139;0.68153664;0.623759549;0.539437857;0.538509317;0.441796066;0.390766359;0.314805665;0.2977657;0.42058865;0.507729469;0.485205314
Castellana 42;0.272809618;0.212517253;0.13895006;0.134080714;0.137007497;0.141016532;0.15844548;0.194831726;0.4163446;0.642332486;0.664798607;0.652491936;0.606752306;0.608459596;0.475551997;0.36878286;0.420388669;0.430479484;0.259966435;0.175817335;0.185913408;0.289932712;0.317305038;0.319801274
Castellana frente a Hermanos Pinzon;0.254556434;0.20719697;0.171651296;0.159903382;0.158272947;0.171678744;0.202657005;0.221072931;0.358024813;0.691123188;0.688828502;0.661231884;0.64281401;0.657513803;0.569391441;0.467646182;0.478528295;0.433841521;0.353689849;0.248742863;0.251301054;0.333870538;0.348138999;0.235249231
Castello;0.230863103;0.217131362;0.218710308;0.237842312;0.235270612;0.256803376;0.2556633;0.270424252;0.282399108;0.424802957;0.448995597;0.486376676;0.47061055;0.442315185;0.460782173;0.434967009;0.43032811;0.404169516;0.354769169;0.27024551;0.251215575;0.258317189;0.269750712;0.229014968
Cea Bermudez;0.423736478;0.453380691;0.480274469;0.500904846;0.514918079;0.511184132;0.508132336;0.523919996;0.514183851;0.41655588;0.387175696;0.383579469;0.369794206;0.296644783;0.319227393;0.228054683;0.295690587;0.345791833;0.422166765;0.429008673;0.41443207;0.375571343;0.340095883;0.37263429
Cibeles;0.158065097;0.142833309;0.142982456;0.160277082;0.163074353;0.16245614;0.152619048;0.150159;0.398096958;0.661771913;0.631147313;0.598779996;0.606871345;0.559560011;0.357242244;0.197846004;0.365953773;0.313324979;0.250708634;0.200304929;0.239514063;0.221907874;0.191405229;0.160223107
Claudio Coello;0.150060386;0.140217391;0.121980676;0.117693237;0.12602657;0.13321256;0.135990338;0.16614072;0.220234958;0.356181379;0.602311155;0.668784926;0.701992754;0.725120773;0.683408296;0.60307971;0.55513285;0.458876812;0.394746377;0.227920509;0.158272947;0.149577295;0.152728371;0.146980676
Colegio Arquitectos;0.287915961;0.264103143;0.239788569;0.210568417;0.165719305;0.138606563;0.117235241;0.151577992;0.093159232;0.071581655;0.064633133;0.129844169;0.13209094;0.165665977;0.179528742;0.170863134;0.209548592;0.245189951;0.22531609;0.246144154;0.312641006;0.375676386;0.314697482;0.309824215
Colon A;0.372875817;0.21503268;0.156549564;0.171759259;0.162445534;0.163521242;0.152301198;0.136516972;0.149106754;0.466822284;0.70577342;0.779101871;0.742156863;0.720383987;0.649537976;0.603812636;0.582284858;0.646187364;0.526062092;0.334858388;0.271786492;0.427559913;0.381481481;0.337145969
