;Agustin de Betancourt;Alberto Alcocer;Alcala;Alcantara;Almaden;Alonso Martinez;Altamirano;Anton Martin;Antonio Maura;Arcipreste de Hita A;Arcipreste de Hita B;Atocha A;Atocha B;Augusto Figueroa;Ayala;Banco de Espana A;Barcelo;Biblioteca Nacional;Bravo Murillo 44;Calle Mayor;Carlos Cambronero;Carretas;Casa Encendida;Castellana;Castellana 106;Castellana 164;Castellana 42;Castellana frente a Hermanos Pinz�n;Castello;Cea Bermudez;Cibeles;Claudio Coello;Colegio Arquitectos;Colon A;Colon B;Colombia;Columela;Conde de Casal;Conde de Romanones;Conde Duque;Conde Penalver;Cuesta de Moyano;Diego de Leon 52;Doce de Octubre;Doctor Arce 45;Embajada de Italia;Embajadores 1;Embajadores 2;Entrada Matadero;Espalter;Fernando el Catolico;Ferraz;Fuencarral;General Alvarez de Castro;General Martinez Campos ;General Pardi�as;General Peron 1;General Peron con Poeta Joan Maragall;Glorieta de los Cuatro Caminos;Guzman el Bueno;Hortaleza;Huertas;Ibiza;Jacinto Benavente;Jacometrezo;Jesus y Maria;Jorge Juan;Jose Abascal;Jose Gutierrez Abascal ;Juan Bravo 50;Juan Martin;Malasana;Manuel Silvela;Maria Francisca 1;Marques de Cubas;Marques de la Ensenada;Marques de Salamanca;Menendez Pelayo;Metro Piramides;Mendez Alvaro;Martires Concepcionistas;Miguel Moya;Moncloa;Museo Reina Sofia;Narvaez;Nino Jesus;O'Donnell;Orense 12;Orense 36;Ortega y Gasset;Ortega y Gasset 87;Palacio de Deportes;Palacio de Oriente;Palos de la Frontera;Paseo de la Castellana con Raimundo Fern�ndez;Paseo de la Esperanza;Paseo de la Florida;Paseo de la Habana 42;Paseo de la Habana 63;Paseo de las Delicias;Paseo de Moret;Pedro Bosch;P� Castellana - Glorieta de Emilio Castelar;P�o Baroja;Pintor Rosales;Plaza Conde Suchil;Plaza de Celenque A;Plaza de Celenque B;Plaza de Colon;Plaza de Espana A;Plaza de Espana B;Plaza de Felipe II;Plaza de Juan Pujol;Plaza de la Cebada;Plaza de la Independencia;Plaza de la Provincia;Plaza de la Republica Argentina;Plaza de las Salesas;Plaza de Lavapies;Plaza de los Astros;Plaza de los Carros;Plaza de Nelson Mandela;Plaza de Pedro Zerolo;Plaza de Ramales;Plaza de San Ildefonso;Plaza de San Juan de la Cruz;Plaza de San Miguel;Plaza de Santa Ana;Plaza del Carmen ;Plaza del Cordon;Plaza San Francisco;Principe de Vergara;Prim;Puerta de Granada;Puerta de Madrid;Puerta de Mariano de Cavia;Puerta de Toledo;Puerta del Doce de Octubre;Puerta del Angel Caido;Puerta del Pacifico ;Puerta del Sol A;Puerta del Sol B;Quintana;Raimundo Fernandez;Red de San Luis A;Red de San Luis B;Ribera de Curtidores;Ronda de Atocha;Sainz de Baranda;San Andres;San Bernardo;San German;San Hermenegildo;San Quintin;San Vicente Ferrer;Santa Cruz del Marcenado;Santa Engracia 127;Santa Engracia 14;Santa Isabel;Santa Maria de la Cabeza;Santo Domingo;Segovia 26;Segovia 45;Serrano;Serrano 210;Sevilla;Sor Angela de la Cruz;Valderribas;Velazquez;Velazquez 130;Ventura Rodriguez;Villanueva;0
0;0.217028986;0.286061704;0.325433998;0.228711023;0.298402503;0.226844532;0.654075695;0;0.234552042;0.195464741;0.343580996;0.341531777;0.386231719;0.394071146;0.20894159;0.083761292;0.537907268;0.129206349;0.440217391;0.289282051;0.536129524;0;0.704259991;0.211428571;0.301701801;0.466600791;0.272809618;0.254556434;0.230863103;0.423736478;0.158065097;0.150060386;0.287915961;0.372875817;0.220261438;0.477492314;0.237291392;0.713793575;0.68739194;0.581901311;0.336100132;0.257204498;0.294826617;0.616386693;0.36096885;0.269202899;0.660733892;0.624205565;0.636548867;0.254598997;0.679393469;0.310111205;0.487368719;0.600927756;0.338373643;0.249507389;0.527767426;0.182685551;0.591189065;0.471657569;0.266549994;0.362304848;0.481955424;0.595336439;0.317979171;0.778019324;0.593620704;0.666867184;0.356126482;0.456757743;0.474033816;0.466357717;0.596879823;0.582592204;0.089092321;0.138429324;0.226152833;0.627096273;0.752673474;0.382603206;0.579170364;0.257190225;0.232758485;0.38219697;0.426912307;0.632281668;0.428649853;0.176388889;0.352415459;0.265569881;0.51624302;0.265159201;0.262187873;0.738614405;0.178242989;0.557754107;0.634890899;0.307301274;0.409181881;0.686390796;0.33442578;0.589536671;0.138484848;0.473197032;0.335116034;0.677159586;0.232850242;0.238932806;0.132483217;0.211939268;0.20736715;0.272277119;0.754085213;0.672930674;0.116723916;0.652197712;0.246208043;0.209777036;0.662256101;0.674094203;0.701745718;0.766417432;0.376014963;0.375667074;0.732690393;0.253480457;0.365200922;0.661849747;0.379141571;0.496019982;0.745664722;0.281260587;0.142705512;0.571855693;0.490111565;0.650476818;0.646694514;0.548951471;0.231550462;0.584934033;0.352507083;0.473523276;0.415044281;0.430894347;0;0;0.65243083;0.425693197;0.57249451;0.602697001;0.394302996;0.598634325;0.613530805;0.268692308;0.532429829;0.235567633;0.67143324;0.246129776;0.836963894;0.716922486;0.420642419;0.567402284;0.721730504;0.186691762;0.293176329;0.122852966;0.396866962;0.67886395;0.194906362;0.344071146;0.296525033;0.133459596;0.410422601
1;0.288103865;0.283349802;0.391785375;0.27175011;0.360068072;0.149593764;0.710556653;0;0.233717611;0.237080432;0.397734331;0.431421356;0.429160494;0.333174133;0.175468819;0.073148359;0.471015038;0.139097744;0.468423364;0.254602089;0.492323726;0;0.738713219;0.157777778;0.279166667;0.472139877;0.212517253;0.20719697;0.217131362;0.453380691;0.142833309;0.140217391;0.264103143;0.21503268;0.163616558;0.482603206;0.166734111;0.748790917;0.697710218;0.553694554;0.333624286;0.260523402;0.280508031;0.655610452;0.402827969;0.250724638;0.699119299;0.641399241;0.599937528;0.283347257;0.747443378;0.315205628;0.458944546;0.575608256;0.32916353;0.215599343;0.635617667;0.186970795;0.703776899;0.518253968;0.250582359;0.410524508;0.441551383;0.601628866;0.265110107;0.817572464;0.676891917;0.640604269;0.330275582;0.545708359;0.581949934;0.39501145;0.564481774;0.630929038;0.086137346;0.105950812;0.244812253;0.654166667;0.718467282;0.441469038;0.618616582;0.19394755;0.237052983;0.458231382;0.490705973;0.662310214;0.482603206;0.202475845;0.414487264;0.274064925;0.598927003;0.293070002;0.347408871;0.747603363;0.20947205;0.615912002;0.564534152;0.283207071;0.397866867;0.746233213;0.358871322;0.654078832;0.096060606;0.49862758;0.361143108;0.71045207;0.274939614;0.252865613;0.094391116;0.234773982;0.257427536;0.279314888;0.635579226;0.676398262;0.155797101;0.611772876;0.252936978;0.205871166;0.713807485;0.734480676;0.72447848;0.783939014;0.266446906;0.397619361;0.657660707;0.276970795;0.247735115;0.559770944;0.377446044;0.525834431;0.807353818;0.285388042;0.115501286;0.635068031;0.407450142;0.724454953;0.696637775;0.556252745;0.210500578;0.605522433;0.355872999;0.442945762;0.436078891;0.482098155;0;0;0.670395397;0.518638687;0.657731821;0.505161083;0.363112847;0.723810151;0.589218311;0.37781339;0.543863601;0.245531401;0.657496151;0.265716952;0.840311376;0.764712341;0.275089874;0.605006588;0.714985892;0.165437135;0.273561704;0.108558897;0.395966654;0.634716733;0.172793149;0.279166667;0.339432367;0.070652174;0.416506953
2;0.338224638;0.316178085;0.454679962;0.297048905;0.414490401;0.112384717;0.746640316;0;0.244660895;0.275539557;0.425192139;0.471327404;0.456467236;0.26301054;0.163306983;0.070599343;0.377284879;0.175050125;0.510309618;0.258723647;0.46107575;0;0.781609574;0.13890142;0.284782609;0.446124286;0.13895006;0.171651296;0.218710308;0.480274469;0.142982456;0.121980676;0.239788569;0.156549564;0.133660131;0.503145586;0.149142042;0.750411255;0.67817982;0.520652174;0.348956961;0.255275268;0.316904605;0.710144928;0.409206192;0.245169082;0.709601292;0.672304567;0.657410151;0.302727652;0.747290451;0.348516218;0.370056939;0.511812692;0.272279472;0.185177887;0.707193833;0.206521739;0.760105716;0.541105935;0.238840156;0.454310339;0.458141195;0.54109276;0.214805195;0.813685771;0.779257638;0.584701518;0.305709267;0.635278479;0.623841678;0.364390018;0.54014132;0.6857493;0.066556758;0.108300395;0.264624506;0.673149194;0.700428195;0.50668094;0.715591669;0.113522021;0.276550442;0.452003733;0.526672371;0.655378317;0.538317962;0.223852657;0.46678744;0.275613177;0.64765873;0.329208562;0.308915239;0.752803658;0.227010477;0.662005013;0.60330076;0.248182916;0.400584259;0.809955769;0.382059728;0.75547321;0.084848485;0.540733421;0.367549564;0.720204248;0.334782609;0.344021739;0.063175231;0.18544686;0.249939614;0.313706945;0.465419103;0.650943495;0.162099253;0.623216231;0.288455988;0.175903863;0.705677897;0.680098344;0.730431646;0.831248956;0.158578743;0.408503043;0.581397755;0.303837286;0.251221846;0.428394124;0.33000894;0.528864734;0.81244275;0.310597277;0.110860782;0.687098428;0.546006648;0.79070911;0.733045113;0.585984848;0.223352327;0.637954831;0.376909503;0.39725516;0.463015056;0.519667482;0;0;0.666273762;0.567930053;0.668454734;0.415051603;0.341295887;0.765656566;0.535522229;0.360422602;0.489867233;0.255797101;0.68296368;0.268564527;0.854658071;0.686951321;0.249789772;0.633190602;0.69945809;0.164613527;0.273490338;0.095;0.368700201;0.678656126;0.168220246;0.286330698;0.333536451;0.056582126;0.420751003
3;0.362198068;0.314794686;0.478964862;0.295731382;0.419298576;0.116792929;0.804062363;0;0.249681599;0.288618326;0.438023088;0.481763285;0.487794872;0.208113746;0.160468819;0.054409358;0.303564467;0.140066834;0.559705753;0.247181387;0.411246611;0;0.791139657;0.116481481;0.286231884;0.46266469;0.134080714;0.159903382;0.237842312;0.500904846;0.160277082;0.117693237;0.210568417;0.171759259;0.151947168;0.534941809;0.0911624;0.765233538;0.68798906;0.489432367;0.325090188;0.253608131;0.374734597;0.768939394;0.4081459;0.241425121;0.759479892;0.704406958;0.69429581;0.302614871;0.821854414;0.352308802;0.30692287;0.522213439;0.246784616;0.169490969;0.749926281;0.188664596;0.815298168;0.568879792;0.201879699;0.457681787;0.4813296;0.465933559;0.141009474;0.785243742;0.820635705;0.582422831;0.283150605;0.658170244;0.690217391;0.35085388;0.524952946;0.747759104;0.057320409;0.083064339;0.256351559;0.744798137;0.708943472;0.544565217;0.788805236;0.097488864;0.297990777;0.50493679;0.572634361;0.676513583;0.570267896;0.235402942;0.493780193;0.217187501;0.713357017;0.330637901;0.289515497;0.771001945;0.214189566;0.669814815;0.654756508;0.266057312;0.415439331;0.813604763;0.411846728;0.827075099;0.071464646;0.569054677;0.412463925;0.724049564;0.357487923;0.331571146;0.060408432;0.185161397;0.24571256;0.330539087;0.315216145;0.669620133;0.157833773;0.648502179;0.297639438;0.157926731;0.670519637;0.728485162;0.769718928;0.845233918;0.109545867;0.40443472;0.451933762;0.348671498;0.269524437;0.355102413;0.272873141;0.544032718;0.805141477;0.32878631;0.075742832;0.757139473;0.514861349;0.826992754;0.77625174;0.619016249;0.228290598;0.671316111;0.319528961;0.383207071;0.486516373;0.552665945;0;0;0.705840606;0.608159619;0.702585639;0.300565437;0.29340115;0.802173913;0.550377261;0.381894587;0.458167908;0.277173913;0.687226276;0.27281746;0.851953847;0.730323421;0.17500079;0.667330918;0.72443519;0.137373737;0.28562253;0.079285714;0.405915522;0.692243083;0.192962231;0.278354194;0.314333553;0.060628019;0.425422902
4;0.384299517;0.307663592;0.478917379;0.310591944;0.423391524;0.083377251;0.836144049;0;0.23681928;0.323348391;0.463515591;0.494682853;0.486037987;0.196206632;0.163675889;0.040127106;0.214049011;0.121746032;0.612856829;0.225817664;0.358822008;0;0.802272727;0.105185185;0.288411287;0.488666949;0.137007497;0.158272947;0.235270612;0.514918079;0.163074353;0.12602657;0.165719305;0.162445534;0.14497549;0.555577514;0.092858711;0.811190476;0.685568384;0.487604304;0.358536451;0.222665945;0.377879729;0.799033816;0.425110578;0.237198068;0.79541847;0.748429952;0.752773442;0.302360067;0.84918439;0.359000722;0.230790985;0.561583224;0.246910879;0.175941434;0.817244651;0.193121432;0.839164941;0.568066535;0.175724688;0.428060732;0.498781291;0.393685457;0.122585796;0.755374396;0.837143171;0.61825538;0.296640316;0.643078959;0.737220026;0.309752023;0.530186806;0.75509783;0.054990903;0.068549627;0.256351559;0.799784334;0.75017567;0.566205534;0.82783643;0.069366805;0.320289855;0.520287502;0.590492247;0.701694742;0.588504611;0.193511199;0.534118357;0.211715661;0.756363166;0.343198287;0.266171811;0.829209016;0.232672219;0.702989418;0.730778433;0.265694993;0.422633948;0.839666698;0.424346728;0.881989146;0.051010101;0.578540843;0.418049282;0.761753813;0.358876812;0.299220466;0.05685112;0.179605841;0.238586957;0.331927975;0.282787524;0.68012773;0.107471454;0.619907407;0.302617009;0.119531783;0.68561155;0.757953761;0.790211902;0.864051796;0.07787816;0.387944821;0.425524524;0.380281072;0.273164879;0.286810059;0.206034726;0.559343434;0.795380827;0.338048184;0.076210239;0.798897152;0.520030864;0.852195872;0.807606598;0.654808959;0.229832858;0.695217207;0.177096554;0.275153711;0.516554685;0.616485821;0;0;0.734764101;0.638349911;0.723468379;0.267007027;0.258987338;0.809914361;0.535970105;0.363166667;0.429337805;0.287077295;0.718243587;0.24073499;0.854782328;0.767852437;0.133988708;0.710995828;0.790567633;0.142385815;0.352497804;0.051746032;0.41878333;0.733959157;0.195174572;0.283975626;0.307087176;0.056461353;0.429309323
5;0.406823671;0.36969148;0.501566952;0.326416337;0.432224418;0.070004392;0.85907993;0;0.225708169;0.330469289;0.405630058;0.58212482;0.535390788;0.20000549;0.162407773;0.030186144;0.228230298;0.12015873;0.636709486;0.187922127;0.329687469;0;0.807745938;0.136587302;0.274132631;0.511462451;0.141016532;0.171678744;0.256803376;0.511184132;0.16245614;0.13321256;0.138606563;0.163521242;0.135171569;0.61695213;0.088920258;0.828001443;0.668209935;0.490124067;0.365733421;0.210878819;0.41054191;0.795954106;0.449212623;0.240640097;0.82588776;0.747224534;0.750363248;0.313471178;0.833984252;0.381668392;0.26776632;0.600570927;0.284207761;0.159974153;0.782267551;0.208640755;0.877128427;0.602717391;0.186239537;0.378234205;0.523539745;0.361962011;0.113192798;0.7227657;0.833247653;0.62645006;0.285655468;0.650125198;0.758031401;0.292281544;0.530587396;0.783461119;0.054614781;0.065832235;0.21848924;0.791699605;0.782004831;0.580791612;0.841840869;0.061507152;0.325741107;0.536713407;0.60549715;0.700305854;0.608799956;0.151295564;0.552898551;0.170578513;0.790160926;0.381241765;0.243348077;0.800020704;0.2549164;0.739175717;0.748179906;0.295833333;0.44690931;0.854449307;0.44451581;0.863354194;0.069343434;0.600068229;0.434483813;0.777320261;0.335084541;0.245180061;0.050988142;0.167835968;0.228743961;0.339108476;0.285341131;0.675952517;0.085413922;0.584330065;0.316134952;0.099355773;0.656328032;0.773714631;0.830598689;0.857527151;0.070720915;0.372477884;0.37603504;0.400880701;0.267874396;0.283856135;0.158288318;0.567308959;0.799503576;0.355903758;0.095901249;0.787185355;0.550569264;0.843302591;0.809112733;0.658777997;0.238672365;0.705148821;0.208643108;0.268573154;0.531815524;0.653628992;0;0;0.778567351;0.645071081;0.732647123;0.235726834;0.255327535;0.706225296;0.519560512;0.372853276;0.417082924;0.292572464;0.753270713;0.218555901;0.86582753;0.777090784;0.126462501;0.71781401;0.799193749;0.127042945;0.407564778;0.05;0.437865456;0.757175011;0.187867809;0.292605402;0.31318621;0.056461353;0.433152333
6;0.391754502;0.404056873;0.491358025;0.345236527;0.39725516;0.087582345;0.874731006;0;0.22979798;0.329135297;0.409551258;0.714265167;0.567525641;0.174516908;0.161683136;0.038524132;0.213142579;0.093421053;0.632290294;0.181445394;0.312114721;0;0.784957494;0.170789474;0.275817962;0.532581247;0.15844548;0.202657005;0.2556633;0.508132336;0.152619048;0.135990338;0.117235241;0.152301198;0.100912309;0.621305446;0.101679058;0.847070707;0.660532028;0.480335968;0.377289196;0.199092478;0.441354952;0.758997585;0.458232166;0.246074879;0.814646465;0.763614405;0.820600468;0.296090226;0.822120271;0.401365362;0.28052562;0.601295564;0.285734676;0.142342942;0.7530852;0.196195652;0.853187151;0.632814951;0.152202729;0.375929688;0.562856829;0.343190445;0.119313006;0.706713878;0.824739632;0.629800333;0.301899429;0.668234321;0.717753623;0.258022304;0.475027448;0.765986886;0.060761026;0.060457839;0.220965086;0.820877251;0.815519324;0.593351998;0.833747161;0.043972332;0.302790326;0.525961635;0.607846733;0.704957181;0.625120773;0.13184563;0.555615942;0.162866867;0.81705565;0.40702679;0.250698758;0.819953416;0.28646108;0.766583124;0.782922722;0.313768116;0.458020422;0.841485194;0.44880325;0.916963109;0.134427609;0.606874647;0.441237687;0.762611656;0.323671498;0.245597277;0.058438421;0.169208388;0.221799517;0.334683794;0.270672515;0.712191833;0.094954985;0.544360022;0.301090093;0.106894828;0.636578518;0.766847826;0.846612868;0.864035088;0.133609856;0.36761842;0.347405099;0.417495608;0.269444444;0.275389404;0.142334608;0.565799297;0.766860374;0.367857143;0.09999749;0.7852657;0.564668566;0.839262187;0.785396825;0.667111331;0.243954416;0.706772982;0.200284019;0.259859464;0.547695755;0.650843215;0;0;0.795051446;0.638646352;0.747128898;0.221590909;0.226702868;0.67705863;0.511551227;0.373838557;0.408301227;0.299396135;0.735262043;0.225301932;0.834573448;0.784606939;0.151538196;0.723067633;0.773503629;0.103305571;0.423248792;0.07289056;0.463348548;0.73462184;0.206593105;0.291814888;0.295328283;0.055072464;0.434605829
7;0.389168685;0.38114667;0.50365959;0.379083107;0.414647881;0.105710734;0.84184942;0;0.244103781;0.328297754;0.46028943;0.653199986;0.634667909;0.124824684;0.166455225;0.064072974;0.268204112;0.138143746;0.641925162;0.20870692;0.294734103;0;0.720817168;0.201358234;0.323547537;0.478391408;0.194831726;0.221072931;0.270424252;0.523919996;0.150159;0.16614072;0.151577992;0.136516972;0.121389416;0.632605356;0.13884234;0.809453987;0.570801989;0.493959582;0.355109652;0.246225782;0.463147397;0.704417952;0.449965999;0.260784564;0.72458577;0.76432351;0.784102424;0.29115935;0.740162596;0.392523208;0.250279186;0.53598113;0.321453617;0.143275597;0.679026035;0.191651791;0.789004299;0.600778371;0.115699174;0.4629562;0.592577245;0.328477623;0.126527143;0.706888308;0.807958112;0.617528217;0.312507969;0.677103899;0.541055718;0.279309416;0.449862632;0.716127208;0.091828641;0.074817247;0.202935739;0.709905861;0.697320328;0.561764206;0.782155952;0.097618137;0.288726526;0.547238818;0.581405022;0.650098207;0.669247524;0.114783884;0.536933146;0.174202049;0.752575393;0.379972587;0.264845662;0.75891529;0.246465081;0.689553184;0.694333452;0.322639084;0.451129457;0.756222868;0.451219771;0.879450435;0.328747149;0.600898284;0.448834417;0.681791588;0.334677419;0.286125632;0.083219492;0.184968549;0.209326788;0.299492116;0.236125259;0.710454002;0.166781267;0.485934535;0.293279418;0.081725287;0.608360959;0.708441862;0.813809554;0.819120382;0.118197452;0.35352908;0.269210176;0.402198958;0.290950226;0.250152268;0.206985908;0.538314421;0.658194599;0.358228144;0.102680854;0.761942709;0.528739546;0.779840835;0.683777121;0.664759446;0.2584597;0.731378754;0.242810664;0.262155213;0.541812088;0.635667687;0;0;0.769973073;0.578094225;0.710848467;0.212430101;0.229133634;0.647084449;0.433933041;0.379516589;0.33186326;0.304958774;0.734628268;0.201262272;0.725763192;0.720989448;0.149644192;0.704115135;0.596330061;0.132331378;0.424731183;0.069900558;0.488820787;0.729507204;0.194377152;0.279195431;0.32457818;0.067406939;0.421878255
8;0.369364295;0.436698664;0.488660969;0.292301117;0.368813916;0.343937784;0.756966403;0;0.483529236;0.369915302;0.43709657;0.69455267;0.605588319;0.06833004;0.296479704;0.316265023;0.197253182;0.343283208;0.559211682;0.191213675;0.140799706;0;0.619801274;0.384252297;0.329715635;0.593083004;0.4163446;0.358024813;0.282399108;0.514183851;0.398096958;0.220234958;0.093159232;0.149106754;0.183850763;0.461824769;0.494549062;0.671638142;0.440285934;0.346382301;0.25445213;0.286362695;0.449468882;0.47705314;0.413724199;0.342301901;0.543862538;0.628274829;0.670787012;0.387769424;0.36078173;0.396060763;0.263259218;0.304119089;0.361717485;0.25863559;0.503074311;0.356527088;0.507065217;0.56962482;0.065981969;0.395320506;0.740910032;0.272437888;0.193040655;0.467979484;0.669315359;0.427469728;0.348756195;0.619264333;0.610247663;0.228360022;0.503568762;0.650340414;0.344309023;0.208108256;0.310370632;0.491084761;0.47363856;0.541677646;0.641216421;0.108002384;0.448935002;0.50640724;0.478740824;0.400035291;0.732273825;0.401770186;0.568807642;0.387126164;0.535492503;0.25582455;0.290582847;0.612147563;0.322103703;0.49031746;0.591133585;0.324033816;0.450236056;0.612244123;0.427585639;0.613995546;0.673593074;0.633581937;0.404249953;0.529812092;0.358333333;0.311456961;0.133151076;0.29333004;0.305462231;0.301257137;0.105555556;0.449304265;0.580529676;0.418341503;0.503031244;0.190236075;0.350897014;0.462922705;0.58887791;0.536148705;0.127383305;0.360903915;0.16954344;0.510710365;0.243966842;0.167470832;0.283170682;0.490354633;0.490526382;0.320655938;0.164555022;0.49052795;0.415740617;0.48608131;0.422984422;0.635353535;0.4627676;0.50374898;0.456574324;0.353707102;0.502880406;0.516187339;0;0;0.622710019;0.528912657;0.713011168;0.141809398;0.22328976;0.461221689;0.389211368;0.386039411;0.305241842;0.424154589;0.377410674;0.271866177;0.376592634;0.534547337;0.167538944;0.625483092;0.457442313;0.297135485;0.442665788;0.214899749;0.443545706;0.507817303;0.253299297;0.576856428;0.319093105;0.184948083;0.399801876
9;0.355539087;0.518434343;0.494919278;0.218179465;0.366865079;0.680379886;0.588491279;0;0.776600634;0.330644175;0.364098438;0.540619706;0.5708585;0.080873957;0.546354853;0.618945682;0.175094681;0.612367029;0.346958718;0.176919278;0.070387729;0;0.288153272;0.60770259;0.422134387;0.797524155;0.642332486;0.691123188;0.424802957;0.41655588;0.661771913;0.356181379;0.071581655;0.466822284;0.496881808;0.386938484;0.658868812;0.485620491;0.285313225;0.221376027;0.234531652;0.384591997;0.40556002;0.326570048;0.37228104;0.719306418;0.371133227;0.393799015;0.662780321;0.641851852;0.331960913;0.367144269;0.177457918;0.206192358;0.432500982;0.551871566;0.468590655;0.668381956;0.310836627;0.360537832;0.191694186;0.269646126;0.613418345;0.177051572;0.215323107;0.196695997;0.366125907;0.241713762;0.608210365;0.534199148;0.823296631;0.130671623;0.284071617;0.642150698;0.622415178;0.407079177;0.72038318;0.406296662;0.327662495;0.647822009;0.5417817;0.132084823;0.498060888;0.383261968;0.391305446;0.252110076;0.648841678;0.60890975;0.650131752;0.656880607;0.355012077;0.19811704;0.299541063;0.50705863;0.468970541;0.360864662;0.615951259;0.407949056;0.445921168;0.448926813;0.392023496;0.46574989;0.687364117;0.361056214;0.430417059;0.310514706;0.35102657;0.3116491;0.436192358;0.315001725;0.371437198;0.267188186;0.080781775;0.231849003;0.716353755;0.319866558;0.578693456;0.346358983;0.198823013;0.318582565;0.305657507;0.312844612;0.165947651;0.357810179;0.078484246;0.593275143;0.151339482;0.126659017;0.454686618;0.327354288;0.289465305;0.298717297;0.26104766;0.397110546;0.489935216;0.347194774;0.259907366;0.317249357;0.747354701;0.336009344;0.542288734;0.482745153;0.517955632;0.346224146;0;0;0.339697283;0.496880939;0.455314323;0.072227712;0.17595795;0.332385972;0.202128741;0.388383191;0.182613662;0.482004831;0.325667455;0.585217862;0.276593121;0.380749263;0.159421422;0.390157005;0.469619834;0.598775017;0.450494855;0.510325815;0.515955361;0.443461792;0.475773261;0.624206886;0.34212231;0.599258109;0.399850546
